key,PR,paperYear
1,0.047223467,2005
3,0.04206882,2005
4,0.07158003,2005
5,0.038073811,2005
8,0.042337246,2005
9,0.04071523,2005
10,0.041979987,2005
11,0.050385855,2005
12,0.049361542,2005
14,0.047077496,2005
16,0.042566568,2005
17,0.04517839,2005
18,0.05143119,2005
19,0.044192627,2005
20,0.038073811,2005
22,0.038073811,2005
24,0.038073811,2005
25,0.04079781,2005
26,0.041892152,2005
27,0.11139793,2005
28,0.042975318,2005
29,0.0812632,2005
30,0.038073811,2005
31,0.038073811,2005
32,0.046284836,2005
33,0.041538782,2005
34,0.06164032,2005
35,0.051137716,2005
36,0.05101623,2005
38,0.040415224,2005
39,0.038073811,2005
40,0.04110324,2005
41,0.04947586,2005
42,0.040502053,2005
43,0.038073811,2005
44,0.047072604,2005
45,0.049898893,2005
46,0.041940972,2005
47,0.044418085,2005
49,0.044001523,2005
51,0.04389171,2005
52,0.038073811,2005
53,0.041037977,2005
55,0.04249384,2005
56,0.040415224,2005
57,0.049723625,2005
58,0.040415224,2005
59,0.04118594,2005
61,0.0431208,2005
64,0.045535818,2005
65,0.041336566,2005
68,0.055620704,2005
69,0.051204994,2005
70,0.04910532,2005
71,0.038073811,2005
72,0.070017524,2005
73,0.043311074,2005
75,0.053887267,2005
77,0.046237316,2005
78,0.047719944,2005
79,0.038073811,2005
80,0.038073811,2005
81,0.05789383,2005
82,0.04055447,2005
83,0.040746886,2005
84,0.044001576,2005
85,0.044665158,2005
86,0.04248178,2005
87,0.05087345,2005
89,0.04259567,2005
90,0.04143466,2005
91,0.056586877,2005
92,0.038073811,2005
93,0.048285365,2005
94,0.04338778,2005
96,0.042969737,2005
98,0.056313146,2005
99,0.04260719,2005
100,0.04046815,2005
102,0.040415224,2005
103,0.04064963,2005
104,0.058711343,2005
108,0.043921225,2005
109,0.04079303,2005
114,0.06200576,2005
115,0.040415224,2005
116,0.042132698,2005
117,0.0414752,2005
118,0.06219869,2005
122,0.059602227,2005
126,0.053582046,2005
128,0.044186167,2005
130,0.043144736,2005
131,0.0456492,2005
134,0.038073811,2005
135,0.05005569,2005
140,0.046130985,2005
141,0.038073811,2005
142,0.040415224,2005
144,0.04095651,2005
147,0.04138171,2005
149,0.04204522,2005
150,0.040415224,2005
154,0.038073811,2005
155,0.038073811,2005
156,0.04149918,2005
157,0.04578541,2005
159,0.041969012,2005
160,0.046367448,2005
161,0.045959894,2005
165,0.04120967,2005
166,0.040496502,2005
168,0.053540822,2005
171,0.050771926,2005
173,0.038073811,2005
177,0.042364676,2005
178,0.042240947,2005
179,0.038073811,2005
180,0.04679844,2005
181,0.043784525,2005
183,0.040415224,2005
184,0.040415224,2005
187,0.041732915,2005
190,0.045466337,2005
191,0.055251718,2005
192,0.04384353,2005
194,0.042027436,2005
195,0.046885427,2005
197,0.04147511,2005
199,0.04313169,2005
201,0.055081964,2005
205,0.04081372,2005
207,0.060747776,2005
210,0.047080718,2005
211,0.041152436,2005
212,0.045945328,2005
213,0.044640303,2005
214,0.054499306,2005
218,0.044426303,2005
219,0.042293444,2005
221,0.05995089,2005
222,0.038073811,2005
223,0.046144724,2005
224,0.046750013,2005
225,0.04306204,2005
226,0.07579335,2005
227,0.045152668,2005
229,0.0497302,2005
231,0.053762358,2006
232,0.045160686,2006
233,0.040415224,2006
236,0.057108747,2006
237,0.040415224,2006
238,0.040415224,2006
239,0.04124559,2006
240,0.040415224,2006
241,0.040415224,2006
242,0.042775318,2006
243,0.044989668,2006
244,0.040415224,2006
245,0.05289202,2006
247,0.040415224,2006
248,0.040683697,2006
249,0.077179663,2006
250,0.061591985,2006
251,0.044823386,2006
254,0.040683697,2006
256,0.091632325,2006
258,0.042104942,2006
261,0.046445928,2006
268,0.073912025,2006
